canonical_name,price_bucket,sample_count,avg_mat_unit_price,avg_labor_unit_price,avg_exp_unit_price,mat_ratio,labor_ratio,exp_ratio,source_files
복합시트,33000-33999,1,8800.0,4800.0,300.0,63.3,34.5,2.2,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx"
복합시트,34000-34999,1,9000.0,5000.0,500.0,62.1,34.5,3.4,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx"
복합시트,35000-35999,1,9000.0,5500.0,500.0,60.0,36.7,3.3,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx"
복합시트,36000-36999,1,9000.0,5000.0,500.0,62.1,34.5,3.4,"50평~100평 미만 복합_36,000원.xlsx"
복합시트,37000-37999,1,9000.0,5500.0,500.0,60.0,36.7,3.3,"50평~100평 미만 복합_37,000원.xlsx"
복합시트,38000-38999,2,9000.0,6000.0,500.0,58.1,38.7,3.2,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
복합시트,39000-39999,2,9500.0,6500.0,500.0,57.6,39.4,3.0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
복합시트,40000-40999,2,9500.0,7000.0,500.0,55.9,41.2,2.9,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
복합시트,41000-41999,2,10000.0,7250.0,500.0,56.3,40.8,2.8,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
복합시트,42000-42999,2,10500.0,7500.0,500.0,56.8,40.5,2.7,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
복합시트,43000-43999,1,10800.0,7500.0,500.0,57.4,39.9,2.7,"50평 미만 복합_43,000원.xlsx"
복합시트,44000-44999,1,11500.0,7500.0,500.0,59.0,38.5,2.6,"50평 미만 복합_44,000원.xlsx"
복합시트,48000-48999,1,12200.0,7500.0,1000.0,58.9,36.2,4.8,"20평 이하 소형평수_48,000원.xlsx"
복합시트,50000-50999,1,12200.0,7500.0,1000.0,58.9,36.2,4.8,"20평 이하 소형평수_50,000원.xlsx"
사다리차,23000-23999,1,0.0,0.0,0.0,0.0,0.0,0.0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
사다리차,24000-24999,1,0.0,0.0,0.0,0.0,0.0,0.0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
사다리차,25000-25999,2,0.0,0.0,0.0,0.0,0.0,0.0,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
사다리차,26000-26999,2,0.0,0.0,0.0,0.0,0.0,0.0,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
